Year_of_prod,Season,Episode Number,Episode_Title,Duration,Director,Stars,Votes,Full Summary,Chandler,Joey,Ross,Rachel,Phoebe,Monica,The Gang,Summary1,Summary2,Summary3,Summary4,Summary5,Summary6,Summary7,Summary8,Summary9,Summary10,Summary11,Summary12,Summary13,Summary14,Summary15,Summary16,Summary17,Summary18,Summary19,Summary20,Summary21,Summary22,Summary23,Summary24,Summary25,Summary26,Summary27,Summary28,Summary29,Summary30,Summary31,Summary32,Summary33,Summary34,Summary35,Summary36,Summary37,Summary38,Summary39,Summary40,Summary41,Summary42,Summary43,Summary44,Summary45,Summary46,Summary47,Summary48,Summary49,Summary50,Summary51,Summary52
1998,5,9,The One with Ross's Sandwich,22,Gary Halvorson,9.1,3913,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,1,1,1,1,1,1,0,Joey,,,,,,Chandler,,Monica,,Ross,,,,,,,,,,Phoebe,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5,10,The One with the Inappropriate Sister,22,Dana De Vally Piazza,8.2,2980,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,1,1,1,1,1,0,0,,,Ross,,,,Chandler,,Joey,,Rachel,,,,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,11,The One with All the Resolutions,22,Joe Regalbuto,9.1,3781,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.,1,0,1,1,0,0,1,,The Gang,,,,,,Chandler,,,,,,,,Rachel,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,12,The One with Chandler's Work Laugh,22,Kevin Bright,8.3,2949,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,1,0,1,0,0,1,0,Monica,,,,,Chandler,,,,,,,,,,,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,13,The One with Joey's Bag,22,Gail Mancuso,8.1,2959,"Phoebe's grandmother dies, and is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",1,1,0,1,1,1,0,Phoebe,,,,,,,,,,,,,,,Rachel,,Joey,,,,,,,Chandler,,,,,Monica,,,,,,,,,,,,,,,,,,,,,,
1999,5,14,The One Where Everybody Finds Out,22,Michael Lembeck,9.7,8066,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",1,0,0,1,1,1,0,,Phoebe,,,,Monica,,Chandler,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,15,The One with the Girl Who Hits Joey,22,Kevin Bright,8.5,3125,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,1,2,1,0,0,1,0,Ross,,,,,,,,Chandler,,,,,,,Monica,Joey,,,,,,,,,,,,,,,,,,,,Joey,,,,,,,,,,,,,,,
1999,5,16,The One with the Cop,22,Andrew Tsao,8.6,3174,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.",0,1,1,0,1,1,0,Joey,,,,,Monica,,,,,,,,,,,Phoebe,,,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,17,The One with Rachel's Inadvertent Kiss,22,Shelley Jensen,8.5,2977,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,0,1,1,1,1,1,0,Rachel,,,,,,,,,,,,Monica,,,,Phoebe,,,Joey,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,18,The One Where Rachel Smokes,22,Todd Holland,8,2898,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",0,1,1,2,1,1,0,Rachel,,,,,,,,,,Joey,,,,,,,Ross,,,,,,,,,,,Monica,,Phoebe,,Rachel,,,,,,,,,,,,,,,,,,,
1999,5,19,The One Where Ross Can't Flirt,22,Gail Mancuso,8.7,3242,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",0,1,1,1,0,1,0,,Joey,,,,,,,,Ross,,,,,,,,,,Rachel,,,,,,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,20,The One with the Ride Along,22,Gary Halvorson,8.3,2888,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,0,0,1,1,0,0,0,,,,,,,,,Rachel,,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,21,The One with the Ball,22,Gary Halvorson,8.5,3010,"Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",0,1,1,1,1,0,0,,,Phoebe,,,,,,,,,,,,,,Ross,,Joey,,,,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,22,The One with Joey's Big Break,22,Gary Halvorson,8.3,2857,"Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",0,1,1,1,1,0,0,Joey,,,,,,,,,,,,,,,,,,,Rachel,,,,,,,,,,,,,,,,Phoebe,,,,Ross,,,,,,,,,,,,
1999,5,23,The One in Vegas: Part 1,22,Kevin Bright,8.8,3282,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,1,1,1,1,0,1,1,,The Gang,,,,,,,Joey,Chandler,,,,,,,Monica,,,,,Ross,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5,24,The One in Vegas: Part 2,22,Kevin Bright,9.1,3726,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,1,0,1,1,1,1,0,Chandler,,Monica,,,,,,,,Ross,,Rachel,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6,1,The One After Vegas,22,Kevin Bright,8.7,3175,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,1,1,1,1,2,1,0,Ross,,Rachel,,,,,,,,,Phoebe,,Joey,,,,,,,,,,Phoebe,,,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,,
1999,6,2,The One Where Ross Hugs Rachel,22,Gail Mancuso,8.2,2883,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,1,1,1,2,1,1,0,Monica,,Chandler,,,,Rachel,,Joey,,,,,,Phoebe,,,Ross,,,,,,,,,Rachel,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6,3,The One with Ross's Denial,22,Gary Halvorson,8.2,2851,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,1,1,1,1,0,1,0,Ross,,,,,,,,,Rachel,Joey,,,,,,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6,4,The One Where Joey Loses His Insurance,22,Gary Halvorson,8.5,2976,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",0,1,1,0,0,0,0,Joey,,,,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6,5,The One with Joey's Porsche,22,Gary Halvorson,8.2,2902,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",1,1,1,1,1,1,0,Ross,,Rachel,,,,,,Joey,,,,,,,,,,,Phoebe,Monica,,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6,6,The One on the Last Night,22,David Schwimmer,8.5,2942,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",2,1,0,1,0,2,0,,,,,,Chandler,,Monica,,,,Monica,,Rachel,,,Chandler,,,,Joey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6,7,The One Where Phoebe Runs,22,Gary Halvorson,8.4,2959,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,1,1,0,1,1,1,0,Rachel,,,,Phoebe,,,,Joey,,,,,Chandler,,,,Monica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6,8,The One with Ross' Teeth,22,Gary Halvorson,8.5,3074,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,0,0,1,1,1,0,0,Ross,,,,,,,,,,,,,,Rachel,,,,,,,,,,,Phoebe,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6,9,The One Where Ross Got High,22,Kevin Bright,9.2,4187,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,1,1,2,1,0,0,1,Ross,,,,,,,,,,,,,Chandler,Rachel,,,,,,,The Gang,Joey,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,
